Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2017-04-03,1.00263,1.00371,1.0008,1.00164
2017-04-04,1.00164,1.00375,1.00119,1.00183
2017-04-05,1.00172,1.00791,1.00124,1.0043
2017-04-06,1.00425,1.00674,1.00272,1.00532
2017-04-07,1.00532,1.00965,1.0029,1.00879
2017-04-10,1.00962,1.01073,1.00751,1.00864
2017-04-11,1.00869,1.00941,1.00569,1.00735
2017-04-12,1.00735,1.00889,1.00215,1.00287
2017-04-13,1.00271,1.00667,1.001,1.00524
2017-04-14,1.00524,1.00598,1.00288,1.00486
2017-04-17,1.00518,1.00581,1.00102,1.00409
2017-04-18,1.00407,1.0048,0.99557,0.99622
2017-04-19,0.99622,0.99921,0.9957,0.99822
2017-04-20,0.99823,0.9988,0.99407,0.9985
2017-04-21,0.9988,0.99996,0.99649,0.99748
2017-04-24,0.99107,0.99806,0.99086,0.99583
2017-04-25,0.99581,0.997,0.99188,0.99362
2017-04-26,0.99358,0.99686,0.99197,0.99309
2017-04-27,0.99315,0.99636,0.99205,0.99409
2017-04-28,0.99415,0.99582,0.98938,0.99504
2017-05-02,0.99633,0.99633,0.99124,0.99171
2017-05-03,0.99173,0.99484,0.98912,0.99425
2017-05-04,0.99454,0.99569,0.98627,0.98662
2017-05-05,0.98612,0.99031,0.98591,0.98686
2017-05-08,0.98831,0.99915,0.988,0.99898
2017-05-09,0.99891,1.00906,0.99782,1.0072
2017-05-10,1.00719,1.00949,1.00487,1.00862
2017-05-11,1.00862,1.00999,1.00568,1.00787
2017-05-12,1.0078,1.00858,0.99882,1.00109
2017-05-15,1.00049,1.00184,0.99582,0.99634
2017-05-16,0.99627,0.99644,0.9848,0.98609
2017-05-17,0.98579,0.98579,0.97746,0.97857
2017-05-18,0.97807,0.9825,0.97594,0.98017
2017-05-19,0.98018,0.98052,0.97263,0.97321
2017-05-22,0.97338,0.97652,0.9692,0.97328
2017-05-23,0.9733,0.97633,0.9702,0.97602
2017-05-24,0.97601,0.97761,0.97284,0.97372
2017-05-25,0.97373,0.97391,0.97006,0.97283
2017-05-26,0.97287,0.97611,0.96965,0.97481
2017-05-29,0.97488,0.97842,0.97316,0.97835
2017-05-30,0.97835,0.98074,0.97378,0.97532
2017-05-31,0.97532,0.97611,0.967,0.96768
2017-06-01,0.96779,0.97196,0.96706,0.97141
2017-06-02,0.97141,0.9719,0.96239,0.96243
2017-06-05,0.96329,0.96638,0.96282,0.96515
2017-06-06,0.96505,0.96535,0.9614,0.96192
2017-06-07,0.96192,0.96773,0.96182,0.96489
2017-06-08,0.96489,0.96959,0.96402,0.9679
2017-06-09,0.96776,0.97273,0.96755,0.96922
2017-06-12,0.96902,0.96948,0.96702,0.96858
2017-06-13,0.96861,0.97009,0.96625,0.96886
2017-06-14,0.96887,0.97355,0.96415,0.97123
2017-06-15,0.97125,0.97704,0.97038,0.97539
2017-06-16,0.97544,0.97573,0.97271,0.97278
2017-06-19,0.97281,0.97596,0.96958,0.9756
2017-06-20,0.9756,0.97664,0.97259,0.97482
2017-06-21,0.97489,0.97537,0.97223,0.97241
2017-06-22,0.97245,0.97428,0.97125,0.97182
2017-06-23,0.97191,0.97209,0.96763,0.96928
2017-06-26,0.96936,0.97383,0.96874,0.972
2017-06-27,0.972,0.97331,0.95923,0.96041
2017-06-28,0.96046,0.96473,0.958,0.95974
2017-06-29,0.95973,0.95993,0.95565,0.95595
2017-06-30,0.95595,0.95985,0.9553,0.959
2017-07-03,0.95883,0.96427,0.95852,0.96375
2017-07-04,0.96375,0.96597,0.96219,0.96531
2017-07-05,0.96523,0.96877,0.9635,0.96394
2017-07-06,0.96395,0.96603,0.95947,0.96046
2017-07-07,0.9606,0.96543,0.96017,0.9638
2017-07-10,0.96387,0.96753,0.96306,0.96576
2017-07-11,0.96586,0.96961,0.96249,0.96377
2017-07-12,0.96376,0.96619,0.96028,0.96534
2017-07-13,0.96547,0.96874,0.96158,0.9667
2017-07-14,0.9667,0.97008,0.96291,0.96354
2017-07-17,0.96353,0.96588,0.95951,0.96223
2017-07-18,0.96221,0.96347,0.9524,0.95507
2017-07-19,0.95507,0.95609,0.95294,0.95536
2017-07-20,0.95537,0.96199,0.94947,0.95117
2017-07-21,0.95117,0.95229,0.94393,0.94525
2017-07-24,0.94525,0.94752,0.94458,0.94714
2017-07-25,0.94711,0.95257,0.94558,0.95247
2017-07-26,0.95243,0.95954,0.94993,0.95011
2017-07-27,0.95011,0.9662,0.94908,0.96525
2017-07-28,0.96521,0.97266,0.96348,0.96853
